,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
280,Plymouth,Feb,70,5,0,75,25,2,12,6
281,Pomfret,Feb,13,10,0,23,8,1,0,0
282,Portland,Feb,22,11,0,33,18,3,0,0
283,Preston,Feb,12,3,0,15,13,0,0,0
284,Prospect,Feb,18,2,0,20,17,0,2,1
285,Putnam,Feb,108,28,1,137,78,2,10,6
286,Redding,Feb,20,3,0,23,15,4,0,0
287,Ridgefield,Feb,53,6,0,59,32,2,8,6
288,Rocky Hill,Feb,34,4,0,38,11,1,3,3
289,Roxbury,Feb,1,0,0,1,1,0,0,0
290,Salem,Feb,20,0,0,20,11,0,3,0
291,Salisbury,Feb,10,4,0,14,9,0,2,0
292,Scotland,Feb,6,1,0,7,1,0,0,0
293,Seymour,Feb,54,11,0,65,49,4,12,8
294,Sharon,Feb,5,1,0,6,5,0,0,0
295,Shelton,Feb,137,24,0,161,51,8,10,5
296,Sherman,Feb,4,2,0,6,5,0,1,0
297,Simsbury,Feb,24,8,0,32,21,3,0,0
298,Somers,Feb,12,5,0,17,11,1,1,1
299,South Windsor,Feb,32,8,1,41,23,2,7,5
300,Southbury,Feb,24,1,0,25,15,3,5,4
301,Southington,Feb,119,16,0,135,67,13,10,8
302,Sprague,Feb,8,11,1,20,12,1,1,0
303,Stafford,Feb,73,10,0,83,63,5,8,3
304,Stamford,Feb,2347,269,3,2619,508,21,54,16
305,Sterling,Feb,26,3,0,29,14,1,1,0
306,Stonington,Feb,111,12,0,123,38,0,1,0
307,Stratford,Feb,365,76,0,441,63,20,26,12
308,Suffield,Feb,20,4,0,24,17,1,0,0
309,Thomaston,Feb,15,4,0,19,10,1,9,4
310,Thompson,Feb,66,26,4,96,47,1,6,2
311,Tolland,Feb,34,0,0,34,29,2,0,0
312,Torrington,Feb,286,29,1,316,198,23,71,25
313,Trumbull,Feb,74,9,0,83,34,3,3,3
314,Union,Feb,2,0,0,2,2,0,0,0
315,Vernon,Feb,163,36,1,200,106,12,15,11
316,Voluntown,Feb,5,4,0,9,6,2,0,0
317,Wallingford,Feb,90,21,1,112,28,13,14,11
318,Warren,Feb,0,0,0,0,0,0,0,0
