,Name,Designation,Dateestablished,Land area(square miles),Population(in 2010)[1],Population(in 2020)[1],Change,Form ofgovernment,County,Council of Governments,Native Americanname
103,Norwich,City,1662,28.33,40493,40125,−0.9%,Council-manager,New London County,Southeastern CT,Mohegan
104,Old Lyme,Town,1855,23.1,7603,7628,+0.3%,Town meeting,New London County,Lower CT River,
105,Old Saybrook,Town,1854,15.04,10242,10481,+2.3%,Town meeting,Middlesex County,Lower CT River,
106,Orange,Town,1822,17.19,13956,14280,+2.3%,Town meeting,New Haven County,South Central,
107,Oxford,Town,1798,32.89,12683,12706,+0.2%,Town meeting,New Haven County,Naugatuck Valley,
108,Plainfield,Town,1699,42.27,15405,14973,−2.8%,Town meeting,Windham County,Northeast CT,
109,Plainville,Town,1869,9.76,17716,17525,−1.1%,Council-manager,Hartford County,Capitol Region,
110,Plymouth,Town,1795,21.72,12243,11671,−4.7%,Mayor-council,Litchfield County,Naugatuck Valley,
111,Pomfret,Town,1713,40.3,4247,4266,+0.4%,Town meeting,Windham County,Northeast CT,Mashamoquet
112,Portland,Town,1841,23.4,9508,9384,−1.3%,Town meeting,Middlesex County,Lower CT River,
113,Preston,Town,1687,30.9,4726,4788,+1.3%,Town meeting,New London County,Southeastern CT,
114,Prospect,Town,1827,14.32,9405,9401,,Mayor-council,New Haven County,Naugatuck Valley,
115,Putnam,Town,1855,20.29,9584,9224,−3.8%,Town meeting,Windham County,Northeast CT,Quinebaug
116,Redding,Town,1767,31.5,9158,8765,−4.3%,Town meeting,Fairfield County,Western CT,
