,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
543,Danbury,February,1817,176,3,1996,702,53,29,13
544,Darien,February,34,2,0,36,11,0,0,0
545,Deep River,February,24,5,0,29,10,0,0,0
546,Derby,February,134,20,0,154,119,6,16,10
547,Durham,February,12,1,0,13,2,0,1,1
548,East Granby,February,9,2,0,11,10,0,4,2
549,East Haddam,February,14,1,0,15,15,0,3,1
550,East Hampton,February,32,5,0,37,16,9,3,3
551,East Hartford,February,511,98,8,617,98,41,48,22
552,East Haven,February,225,29,0,254,44,18,13,9
553,East Lyme,February,47,8,0,55,50,2,3,3
554,East Windsor,February,58,11,1,70,34,3,4,2
555,Eastford,February,6,2,0,8,6,0,0,0
556,Easton,February,11,0,0,11,11,0,3,3
557,Ellington,February,36,5,0,41,26,2,10,7
558,Enfield,February,179,38,1,218,147,11,17,11
559,Essex,February,13,1,0,14,7,0,4,4
560,Fairfield,February,160,17,0,177,67,4,7,2
561,Farmington,February,34,3,0,37,19,1,3,1
562,Franklin,February,4,2,0,6,2,1,0,0
563,Glastonbury,February,50,2,0,52,26,4,5,1
564,Goshen,February,1,0,0,1,1,0,0,0
565,Granby,February,19,1,0,20,12,4,5,0
566,Greenwich,February,224,23,0,247,43,10,2,1
567,Griswold,February,63,12,1,76,51,10,13,8
568,Groton,February,426,35,0,461,167,20,25,15
569,Guilford,February,48,8,0,56,18,2,5,4
570,Haddam,February,13,0,0,13,2,1,1,0
571,Hamden,February,313,41,0,354,112,32,28,20
572,Hampton,February,5,0,0,5,3,0,2,1
573,Hartford,February,2493,540,10,3043,1005,187,245,122
574,Hartland,February,2,0,0,2,2,0,0,0
575,Harwinton,February,3,0,0,3,3,0,6,5
576,Hebron,February,8,1,0,9,9,4,3,1
577,Kent,February,4,1,0,5,4,0,0,0
578,Killingly,February,143,40,2,185,144,7,14,5
579,Killingworth,February,5,1,0,6,3,0,1,0
580,Lebanon,February,13,6,0,19,19,0,1,1
581,Ledyard,February,78,13,0,91,57,5,4,2
582,Lisbon,February,11,5,0,16,9,1,0,0
583,Litchfield,February,17,3,0,20,13,2,1,1
584,Lyme,February,4,3,0,7,2,0,0,0
585,Madison,February,60,3,0,63,24,3,0,0
586,Manchester,February,369,93,2,464,168,23,48,18
587,Mansfield,February,41,6,0,47,23,0,1,1
588,Marlborough,February,8,1,0,9,9,0,0,0
589,Meriden,February,522,133,0,655,313,58,58,27
590,Middlebury,February,4,0,0,4,1,0,1,0
591,Middlefield,February,8,5,0,13,5,2,1,1
592,Middletown,February,327,41,0,368,84,26,27,15
593,Milford,February,154,24,0,178,72,15,19,9
594,Monroe,February,35,6,0,41,22,5,7,4
595,Montville,February,95,17,0,112,67,4,14,6
596,Morris,February,3,2,0,5,3,0,0,0
597,Naugatuck,February,166,17,1,184,117,15,23,11
598,New Britain,February,905,208,4,1117,223,56,109,49
599,New Canaan,February,36,5,0,41,12,5,2,0
600,New Fairfield,February,30,3,0,33,28,6,6,3
601,New Hartford,February,15,4,1,20,17,1,11,7
602,New Haven,February,3852,561,1,4414,1615,198,257,94
603,New London,February,972,108,2,1082,110,31,58,27
604,New Milford,February,114,17,0,131,94,7,7,5
605,Newington,February,50,13,0,63,52,7,20,10
606,Newtown,February,73,7,0,80,55,6,5,1
607,Norfolk,February,10,1,0,11,7,0,0,0
608,North Branford,February,25,2,0,27,11,3,6,5
609,North Canaan,February,7,2,0,9,7,1,2,1
610,North Haven,February,46,7,0,53,15,7,6,6
611,North Stonington,February,18,3,0,21,18,1,2,1
612,Norwalk,February,1723,133,0,1856,182,26,47,11
613,Norwich,February,429,117,2,548,155,18,60,19
614,Old Lyme,February,20,0,0,20,4,2,1,0
615,Old Saybrook,February,49,2,0,51,7,1,4,4
616,Orange,February,26,3,0,29,10,0,6,4
617,Oxford,February,36,10,0,46,30,4,2,1
618,Plainfield,February,86,19,8,113,41,3,23,13
619,Plainville,February,98,15,0,113,29,8,12,9
620,Plymouth,February,55,8,0,63,18,5,13,4
621,Pomfret,February,9,7,0,16,7,0,0,0
622,Portland,February,28,8,0,36,13,4,5,4
623,Preston,February,13,4,0,17,12,0,2,1
624,Prospect,February,17,0,0,17,10,0,0,0
625,Putnam,February,89,28,0,117,62,2,6,2
626,Redding,February,20,2,0,22,11,0,1,0
627,Ridgefield,February,41,7,0,48,22,2,3,2
628,Rocky Hill,February,44,2,0,46,17,4,6,5
629,Roxbury,February,0,0,0,0,0,0,4,0
630,Salem,February,8,0,0,8,8,0,0,0
631,Salisbury,February,6,4,0,10,10,0,2,1
632,Scotland,February,2,0,0,2,1,0,2,2
633,Seymour,February,60,13,0,73,51,4,7,1
634,Sharon,February,5,1,0,6,5,1,0,0
635,Shelton,February,123,25,0,148,40,13,13,6
636,Sherman,February,6,2,0,8,8,1,0,0
637,Simsbury,February,24,8,0,32,19,2,3,1
638,Somers,February,20,6,1,27,15,3,6,3
639,South Windsor,February,40,10,1,51,25,1,10,5
640,Southbury,February,16,1,0,17,13,1,0,0
641,Southington,February,101,5,1,107,72,11,9,7
642,Sprague,February,14,11,1,26,16,0,0,0
643,Stafford,February,60,11,1,72,51,2,4,2
644,Stamford,February,2442,266,2,2710,448,47,39,22
645,Sterling,February,28,3,3,34,20,2,3,2
646,Stonington,February,80,10,0,90,44,1,4,3
647,Stratford,February,326,62,0,388,64,30,26,12
648,Suffield,February,24,4,0,28,22,0,7,5
649,Thomaston,February,13,6,0,19,9,3,5,1
650,Thompson,February,62,21,4,87,44,1,7,2
651,Tolland,February,31,5,0,36,25,0,1,0
652,Torrington,February,213,27,1,241,178,16,44,21
653,Trumbull,February,66,6,0,72,38,5,6,4
654,Union,February,2,0,0,2,2,0,0,0
655,Vernon,February,155,36,1,192,100,13,8,6
656,Voluntown,February,7,3,0,10,9,0,3,2
657,Wallingford,February,117,21,0,138,37,12,21,10
658,Warren,February,0,0,0,0,0,0,2,1
659,Washington,February,8,0,0,8,8,0,0,0
660,Waterbury,February,2153,254,5,2412,1348,114,187,73
661,Waterford,February,44,3,0,47,16,2,6,3
662,Watertown,February,41,11,0,52,41,5,12,10
663,West Hartford,February,107,11,0,118,58,12,6,4
664,West Haven,February,678,59,0,737,212,56,31,14
665,Westbrook,February,38,6,0,44,27,4,4,4
666,Weston,February,14,0,0,14,9,0,0,0
667,Westport,February,48,7,0,55,48,0,3,3
668,Wethersfield,February,50,4,0,54,42,6,5,4
669,Willington,February,22,3,0,25,22,0,4,2
670,Wilton,February,22,1,0,23,12,0,2,0
671,Winchester,February,54,4,1,59,24,7,17,9
672,Windham,February,641,142,24,807,252,21,27,18
673,Windsor,February,127,17,2,146,72,12,21,14
674,Windsor Locks,February,61,4,0,65,40,3,4,1
675,Wolcott,February,32,2,0,34,12,2,2,2
676,Woodbridge,February,11,2,0,13,5,0,0,0
677,Woodbury,February,23,5,0,28,23,1,1,1
678,Woodstock,February,18,4,2,24,16,1,0,0
679,Grand Total,February,31394,4661,106,36161,11899,1721,2394,1132
680,Andover,January,4,0,0,4,3,2,0,0
681,Ansonia,January,225,33,0,258,100,16,13,6
682,Ashford,January,20,2,1,23,18,0,1,0
683,Avon,January,8,1,0,9,2,0,0,0
684,Barkhamsted,January,5,1,0,6,4,0,1,1
685,Beacon Falls,January,22,5,0,27,20,2,2,1
686,Berlin,January,31,9,2,42,37,4,2,0
687,Bethany,January,21,1,0,22,9,0,0,0
688,Bethel,January,80,10,1,91,26,2,7,3
689,Bethlehem,January,4,1,0,5,3,1,2,2
690,Bloomfield,January,88,23,0,111,48,10,18,11
691,Bolton,January,8,1,0,9,9,0,1,1
692,Bozrah,January,9,0,0,9,8,1,0,0
693,Branford,January,175,13,0,188,65,9,17,12
694,Bridgeport,January,3637,575,1,4213,620,132,162,80
695,Bridgewater,January,4,1,0,5,4,0,0,0
696,Bristol,January,422,43,0,465,124,41,44,23
697,Brookfield,January,42,1,0,43,33,3,4,1
698,Brooklyn,January,35,4,1,40,25,1,4,3
699,Burlington,January,16,2,0,18,12,1,1,1
700,Canaan,January,2,0,0,2,2,0,1,1
701,Canterbury,January,8,3,0,11,9,0,3,0
702,Canton,January,15,2,0,17,13,1,2,1
703,Chaplin,January,3,3,2,8,7,0,1,0
704,Cheshire,January,42,2,0,44,25,4,4,2
705,Chester,January,11,0,0,11,6,0,4,4
706,Clinton,January,41,4,0,45,21,2,4,1
707,Colchester,January,26,5,0,31,29,3,9,6
708,Colebrook,January,1,0,0,1,1,0,2,1
709,Columbia,January,10,2,0,12,12,2,1,1
710,Cornwall,January,8,0,0,8,2,8,0,0
711,Coventry,January,29,5,0,34,20,0,4,2
712,Cromwell,January,40,2,1,43,12,0,4,1
713,Danbury,January,1799,166,3,1968,672,27,39,7
714,Darien,January,34,2,0,36,11,2,0,0
715,Deep River,January,24,5,0,29,10,3,1,1
716,Derby,January,139,20,0,159,121,6,8,2
717,Durham,January,12,1,0,13,2,0,2,1
718,East Granby,January,10,2,0,12,11,1,0,0
719,East Haddam,January,15,1,0,16,16,0,5,3
720,East Hampton,January,26,3,0,29,16,1,1,1
721,East Hartford,January,507,96,8,611,93,31,33,18
722,East Haven,January,219,31,0,250,42,8,15,9
723,East Lyme,January,47,8,0,55,41,2,8,5
724,East Windsor,January,58,10,1,69,33,1,5,2
725,Eastford,January,6,2,0,8,6,0,0,0
726,Easton,January,11,0,0,11,11,0,0,0
727,Ellington,January,39,6,0,45,26,6,1,1
728,Enfield,January,186,32,1,219,144,9,27,15
729,Essex,January,17,2,0,19,8,0,1,1
730,Fairfield,January,160,18,0,178,67,6,13,9
731,Farmington,January,34,3,0,37,19,1,7,3
732,Franklin,January,4,1,0,5,2,0,2,2
733,Glastonbury,January,50,2,0,52,25,4,2,1
734,Goshen,January,1,0,0,1,1,0,0,0
735,Granby,January,18,1,0,19,11,5,1,1
736,Greenwich,January,218,21,0,239,39,8,7,2
737,Griswold,January,60,10,1,71,47,8,11,4
738,Groton,January,420,34,0,454,168,10,25,18
739,Guilford,January,46,9,0,55,17,3,3,2
740,Haddam,January,12,0,0,12,2,0,0,0
741,Hamden,January,306,39,0,345,105,22,27,12
742,Hampton,January,7,0,0,7,3,2,0,0
743,Hartford,January,2497,522,9,3028,1010,162,200,98
744,Hartland,January,2,0,0,2,2,0,0,0
745,Harwinton,January,3,6,0,9,3,6,0,0
746,Hebron,January,5,1,0,6,6,0,2,1
747,Kent,January,4,1,0,5,4,0,5,2
748,Killingly,January,144,37,2,183,143,7,14,6
749,Killingworth,January,6,1,0,7,3,2,1,1
750,Lebanon,January,13,7,0,20,20,2,2,1
751,Ledyard,January,79,11,0,90,57,2,11,7
752,Lisbon,January,10,5,0,15,7,1,1,0
753,Litchfield,January,16,3,0,19,10,3,0,0
754,Lyme,January,4,3,0,7,2,0,0,0
755,Madison,January,58,2,0,60,24,1,3,3
756,Manchester,January,362,99,2,463,172,33,40,17
757,Mansfield,January,41,6,0,47,23,0,2,1
758,Marlborough,January,8,1,0,9,9,2,1,0
759,Meriden,January,528,132,0,660,316,43,36,20
760,Middlebury,January,4,0,0,4,1,0,3,3
761,Middlefield,January,9,3,0,12,6,0,0,0
762,Middletown,January,323,41,0,364,85,27,45,31
763,Milford,January,151,22,0,173,68,15,14,9
764,Monroe,January,31,5,0,36,21,1,5,2
765,Montville,January,93,16,0,109,68,6,14,4
766,Morris,January,3,2,0,5,3,0,1,0
767,Naugatuck,January,175,15,1,191,118,16,16,5
768,New Britain,January,895,222,5,1122,215,60,119,42
769,New Canaan,January,35,2,0,37,13,2,1,0
770,New Fairfield,January,29,5,0,34,28,6,0,0
771,New Hartford,January,20,4,0,24,17,4,0,0
772,New Haven,January,3835,594,1,4430,1491,230,224,92
773,New London,January,965,105,2,1072,108,30,40,20
774,New Milford,January,110,21,0,131,96,9,11,2
775,Newington,January,49,11,0,60,47,6,14,6
776,Newtown,January,74,6,0,80,54,8,8,5
777,Norfolk,January,10,1,0,11,7,1,0,0
778,North Branford,January,25,3,0,28,11,2,6,5
779,North Canaan,January,7,1,0,8,6,1,3,1
780,North Haven,January,47,6,0,53,16,5,11,6
781,North Stonington,January,18,3,0,21,18,0,2,2
782,Norwalk,January,1728,135,0,1863,177,31,44,22
783,Norwich,January,445,125,2,572,151,25,51,25
784,Old Lyme,January,18,1,0,19,4,0,1,0
785,Old Saybrook,January,49,2,0,51,7,0,1,0
786,Orange,January,29,3,0,32,10,1,4,3
787,Oxford,January,33,10,0,43,25,4,5,3
788,Plainfield,January,89,24,8,121,42,5,24,14
789,Plainville,January,99,14,0,113,28,10,9,3
790,Plymouth,January,56,10,0,66,16,6,9,4
791,Pomfret,January,9,7,0,16,7,0,1,1
792,Portland,January,27,8,0,35,14,5,3,2
793,Preston,January,15,4,0,19,14,3,0,0
794,Prospect,January,18,0,0,18,10,4,3,2
795,Putnam,January,91,28,0,119,61,5,10,1
796,Redding,January,21,2,0,23,11,0,0,0
797,Ridgefield,January,41,7,0,48,24,5,1,0
798,Rocky Hill,January,42,2,0,44,18,1,5,3
799,Roxbury,January,0,0,0,0,0,0,0,0
800,Salem,January,8,0,0,8,7,2,0,0
801,Salisbury,January,6,4,0,10,9,2,4,3
802,Scotland,January,3,0,0,3,1,1,1,1
803,Seymour,January,64,10,0,74,50,6,6,1
804,Sharon,January,4,1,0,5,5,0,4,0
805,Shelton,January,118,25,0,143,39,4,16,8
806,Sherman,January,5,2,0,7,7,0,0,0
807,Simsbury,January,24,8,0,32,19,1,2,2
808,Somers,January,24,3,1,28,13,3,9,5
809,South Windsor,January,42,12,1,55,27,6,2,2
810,Southbury,January,15,1,0,16,13,0,2,2
811,Southington,January,96,6,1,103,72,4,6,3
812,Sprague,January,14,11,1,26,16,1,3,3
813,Stafford,January,61,10,1,72,52,1,6,2
814,Stamford,January,2422,269,2,2693,438,30,39,19
815,Sterling,January,29,2,3,34,19,1,8,6
816,Stonington,January,81,10,0,91,44,0,3,0
817,Stratford,January,313,60,0,373,62,18,27,19
818,Suffield,January,24,4,0,28,22,0,10,5
819,Thomaston,January,16,5,0,21,8,3,2,2
820,Thompson,January,64,22,4,90,45,3,2,0
821,Tolland,January,31,6,0,37,25,6,4,1
822,Torrington,January,211,30,1,242,178,30,32,19
823,Trumbull,January,68,4,0,72,34,3,3,2
824,Union,January,2,0,0,2,2,0,0,0
825,Vernon,January,150,32,1,183,101,8,14,9
826,Voluntown,January,7,6,0,13,10,2,0,0
827,Wallingford,January,129,20,0,149,41,12,12,9
828,Warren,January,1,1,0,2,1,2,2,0
829,Washington,January,8,0,0,8,8,0,0,0
830,Waterbury,January,2164,264,5,2433,1374,154,125,47
831,Waterford,January,46,4,0,50,15,4,2,0
832,Watertown,January,48,11,0,59,46,14,7,7
833,West Hartford,January,103,8,0,111,60,3,13,7
834,West Haven,January,643,55,0,698,197,26,47,21
835,Westbrook,January,36,4,0,40,22,1,3,2
836,Weston,January,14,0,0,14,9,0,0,0
837,Westport,January,50,7,0,57,49,0,0,0
838,Wethersfield,January,49,4,0,53,39,3,16,13
839,Willington,January,22,3,0,25,22,1,0,0
840,Wilton,January,24,1,0,25,13,0,6,1
841,Winchester,January,57,4,1,62,26,8,4,2
842,Windham,January,635,140,24,799,247,15,39,18
843,Windsor,January,126,17,2,145,70,15,11,6
844,Windsor Locks,January,58,4,0,62,37,3,9,5
845,Wolcott,January,30,2,0,32,12,3,6,4
846,Woodbridge,January,11,2,0,13,5,0,0,0
847,Woodbury,January,22,6,0,28,23,0,2,1
848,Woodstock,January,18,4,2,24,16,1,0,0
849,Grand Total,January,31271,4690,105,36066,11675,1609,2097,1017
850,Andover,July,2,2,0,4,3,1,0,0
851,Ansonia,July,218,25,0,243,97,9,16,6
852,Ashford,July,19,2,1,22,18,0,0,0
853,Avon,July,12,3,0,15,3,2,1,0
854,Barkhamsted,July,9,0,0,9,6,2,1,1
855,Beacon Falls,July,24,7,0,31,26,4,14,9
856,Berlin,July,30,8,1,39,33,2,12,9
857,Bethany,July,20,3,0,23,11,0,4,3
858,Bethel,July,88,10,1,99,36,7,5,4
859,Bethlehem,July,6,0,0,6,4,1,0,0
860,Bloomfield,July,96,13,0,109,48,14,20,8
861,Bolton,July,5,1,0,6,6,0,1,1
862,Bozrah,July,10,0,0,10,10,0,1,0
863,Branford,July,175,11,0,186,71,11,9,4
864,Bridgeport,July,3753,550,1,4304,639,189,214,93
865,Bridgewater,July,4,1,0,5,4,0,0,0
866,Bristol,July,424,37,1,462,170,35,38,22
867,Brookfield,July,40,1,1,42,31,5,1,0
868,Brooklyn,July,36,8,1,45,25,3,1,0
869,Burlington,July,8,2,0,10,3,1,1,0
870,Canaan,July,2,0,0,2,2,0,0,0
871,Canterbury,July,9,4,0,13,11,1,6,0
872,Canton,July,15,1,0,16,11,1,0,0
873,Chaplin,July,6,3,2,11,9,1,0,0
874,Cheshire,July,41,1,0,42,27,2,2,0
875,Chester,July,5,0,0,5,3,0,1,0
876,Clinton,July,46,6,0,52,24,1,9,0
877,Colchester,July,25,5,0,30,29,0,8,4
878,Colebrook,July,1,0,0,1,1,0,0,0
879,Columbia,July,11,4,0,15,13,1,0,0
880,Cornwall,July,0,0,0,0,0,0,0,0
881,Coventry,July,28,5,0,33,21,0,3,2
882,Cromwell,July,38,6,0,44,14,6,4,1
883,Danbury,July,1838,183,6,2027,706,42,64,27
884,Darien,July,30,2,0,32,10,0,3,2
885,Deep River,July,22,3,0,25,13,0,0,0
886,Derby,July,148,29,0,177,131,10,8,4
887,Durham,July,12,1,0,13,3,0,0,0
888,East Granby,July,8,2,0,10,9,0,0,0
889,East Haddam,July,18,2,0,20,18,1,3,2
890,East Hampton,July,41,4,0,45,17,7,4,3
891,East Hartford,July,523,88,8,619,100,29,39,26
892,East Haven,July,227,31,0,258,44,16,22,12
893,East Lyme,July,45,7,0,52,48,1,8,5
894,East Windsor,July,47,10,1,58,35,1,6,2
895,Eastford,July,5,2,0,7,5,0,0,0
896,Easton,July,13,0,0,13,12,0,0,0
897,Ellington,July,34,7,1,42,26,3,3,2
898,Enfield,July,180,30,1,211,171,15,27,22
899,Essex,July,16,2,0,18,7,0,2,1
900,Fairfield,July,154,16,0,170,67,7,22,7
901,Farmington,July,32,6,1,39,19,3,3,2
902,Franklin,July,6,1,0,7,3,2,1,1
903,Glastonbury,July,41,2,0,43,26,2,3,2
904,Goshen,July,0,0,0,0,0,0,0,0
905,Granby,July,15,1,0,16,13,1,1,1
906,Greenwich,July,219,23,0,242,39,2,2,1
907,Griswold,July,51,9,0,60,44,4,9,3
908,Groton,July,401,40,0,441,165,21,16,12
909,Guilford,July,41,7,0,48,17,1,2,2
910,Haddam,July,14,0,0,14,2,0,1,0
911,Hamden,July,325,32,0,357,113,14,24,17
912,Hampton,July,6,0,0,6,3,1,2,0
913,Hartford,July,2478,569,14,3061,1030,172,248,109
914,Hartland,July,2,0,0,2,2,0,0,0
915,Harwinton,July,6,0,0,6,4,0,2,2
916,Hebron,July,8,2,0,10,9,2,3,2
917,Kent,July,6,1,0,7,6,2,0,0
918,Killingly,July,140,35,0,175,139,6,24,11
919,Killingworth,July,4,1,0,5,3,0,0,0
920,Lebanon,July,15,7,0,22,20,2,0,0
921,Ledyard,July,84,11,0,95,54,4,4,3
922,Lisbon,July,12,4,0,16,9,0,5,2
923,Litchfield,July,14,3,0,17,9,1,4,4
924,Lyme,July,4,3,0,7,5,0,0,0
925,Madison,July,57,3,0,60,21,1,3,3
926,Manchester,July,388,78,2,468,170,17,28,11
927,Mansfield,July,41,7,0,48,35,0,1,1
928,Marlborough,July,7,3,0,10,8,2,3,3
929,Meriden,July,505,113,0,618,300,46,60,36
930,Middlebury,July,8,0,0,8,3,2,0,0
931,Middlefield,July,12,1,0,13,5,2,1,1
932,Middletown,July,332,48,0,380,92,26,34,28
933,Milford,July,148,19,0,167,67,11,23,15
934,Monroe,July,33,4,0,37,21,5,0,0
935,Montville,July,88,19,0,107,65,5,9,6
936,Morris,July,2,2,0,4,3,0,0,0
937,Naugatuck,July,177,21,1,199,123,18,36,11
938,New Britain,July,898,219,1,1118,238,62,101,40
939,New Canaan,July,35,2,0,37,11,1,2,0
940,New Fairfield,July,31,5,0,36,30,2,1,0
941,New Hartford,July,12,4,1,17,12,4,2,1
942,New Haven,July,3766,565,1,4332,1571,166,216,80
943,New London,July,993,103,1,1097,111,50,52,38
944,New Milford,July,120,15,0,135,93,1,9,3
945,Newington,July,56,15,0,71,52,11,10,6
946,Newtown,July,77,5,0,82,58,11,7,6
947,Norfolk,July,5,1,0,6,6,0,0,0
948,North Branford,July,24,3,0,27,8,2,2,1
949,North Canaan,July,17,1,0,18,18,5,3,0
950,North Haven,July,44,6,0,50,14,2,2,1
951,North Stonington,July,14,4,0,18,17,1,0,0
952,Norwalk,July,1712,130,0,1842,179,28,32,11
953,Norwich,July,446,126,2,574,155,33,31,26
954,Old Lyme,July,18,1,0,19,3,1,2,2
955,Old Saybrook,July,49,3,0,52,9,1,0,0
956,Orange,July,27,2,0,29,17,1,1,1
957,Oxford,July,32,10,0,42,29,0,7,7
958,Plainfield,July,94,19,5,118,40,4,17,8
959,Plainville,July,86,10,0,96,44,0,10,7
960,Plymouth,July,60,8,0,68,28,6,7,1
961,Pomfret,July,10,7,0,17,7,1,0,0
962,Portland,July,27,7,0,34,20,3,3,3
963,Preston,July,12,3,0,15,12,1,2,0
964,Prospect,July,17,0,0,17,13,0,2,1
965,Putnam,July,86,27,0,113,64,4,11,4
966,Redding,July,20,2,0,22,15,1,0,0
967,Ridgefield,July,40,7,0,47,24,1,0,0
968,Rocky Hill,July,41,2,0,43,17,4,4,2
969,Roxbury,July,0,0,0,0,0,0,0,0
970,Salem,July,10,1,0,11,9,3,4,0
971,Salisbury,July,6,4,0,10,10,1,1,1
972,Scotland,July,2,0,0,2,1,0,0,0
973,Seymour,July,57,15,0,72,57,8,2,2
974,Sharon,July,4,1,0,5,5,0,1,1
975,Shelton,July,134,23,0,157,46,7,13,5
976,Sherman,July,3,2,0,5,5,0,0,0
977,Simsbury,July,25,4,0,29,19,1,1,1
978,Somers,July,15,3,1,19,13,0,11,6
979,South Windsor,July,41,8,2,51,26,5,7,5
980,Southbury,July,18,2,0,20,15,1,0,0
981,Southington,July,104,6,0,110,70,7,15,6
982,Sprague,July,16,11,1,28,19,4,3,0
983,Stafford,July,59,9,1,69,62,1,4,1
984,Stamford,July,2468,270,2,2740,473,33,39,20
985,Sterling,July,26,2,3,31,17,2,11,9
986,Stonington,July,75,10,0,85,42,5,1,1
987,Stratford,July,326,62,0,388,57,19,23,10
988,Suffield,July,19,5,0,24,20,1,6,3
989,Thomaston,July,20,2,0,22,10,0,5,2
990,Thompson,July,65,21,4,90,45,1,2,0
991,Tolland,July,33,3,0,36,27,1,4,1
992,Torrington,July,233,26,1,260,175,23,24,9
993,Trumbull,July,66,2,0,68,34,4,4,1
994,Union,July,2,0,0,2,2,0,0,0
995,Vernon,July,150,33,1,184,110,14,13,5
996,Voluntown,July,7,3,0,10,9,0,1,0
997,Wallingford,July,84,24,1,109,24,10,16,12
998,Warren,July,1,0,0,1,1,0,4,1
999,Washington,July,10,0,0,10,10,1,0,0
1000,Waterbury,July,2098,240,6,2344,1367,125,191,66
1001,Waterford,July,54,2,0,56,15,4,8,4
1002,Watertown,July,42,9,0,51,41,4,6,3
1003,West Hartford,July,104,14,0,118,61,7,15,4
1004,West Haven,July,651,60,0,711,203,40,56,24
1005,Westbrook,July,38,4,0,42,24,4,2,2
1006,Weston,July,15,0,0,15,9,1,0,0
1007,Westport,July,55,7,0,62,48,3,0,0
1008,Wethersfield,July,42,4,0,46,38,5,9,5
1009,Willington,July,26,3,0,29,26,1,2,2
1010,Wilton,July,22,1,0,23,12,0,0,0
1011,Winchester,July,60,4,1,65,26,15,14,8
1012,Windham,July,648,139,21,808,255,15,14,7
1013,Windsor,July,134,21,3,158,70,16,12,9
1014,Windsor Locks,July,52,6,0,58,42,2,4,2
1015,Wolcott,July,34,3,0,37,15,2,10,3
1016,Woodbridge,July,11,2,0,13,4,0,0,0
1017,Woodbury,July,26,5,0,31,25,4,8,3
1018,Woodstock,July,18,3,2,23,16,0,3,2
1019,Grand Total,July,31367,4604,105,36076,12103,1613,2240,1066
1020,Andover,June,2,1,0,3,2,1,0,0
1021,Ansonia,June,215,28,0,243,96,8,24,13
1022,Ashford,June,19,2,1,22,18,0,0,0
1023,Avon,June,10,3,0,13,2,1,1,0
1024,Barkhamsted,June,8,0,0,8,4,1,0,0
1025,Beacon Falls,June,27,6,0,33,28,1,2,1
1026,Berlin,June,34,11,1,46,39,8,6,4
1027,Bethany,June,20,5,0,25,11,2,0,0
1028,Bethel,June,85,10,1,96,35,6,8,3
1029,Bethlehem,June,5,0,0,5,3,0,0,0
1030,Bloomfield,June,92,13,0,105,49,8,15,4
1031,Bolton,June,5,2,0,7,6,0,0,0
1032,Bozrah,June,10,0,0,10,9,1,0,0
1033,Branford,June,167,13,0,180,71,7,11,7
1034,Bridgeport,June,3698,527,1,4226,651,125,179,83
1035,Bridgewater,June,4,1,0,5,4,0,0,0
1036,Bristol,June,414,38,1,453,124,29,42,21
1037,Brookfield,June,35,1,1,37,29,0,4,1
1038,Brooklyn,June,36,6,1,43,25,0,3,0
1039,Burlington,June,8,2,0,10,4,0,4,2
1040,Canaan,June,2,0,0,2,2,0,0,0
1041,Canterbury,June,13,3,0,16,10,2,3,2
1042,Canton,June,14,1,0,15,11,0,0,0
1043,Chaplin,June,5,3,2,10,9,0,0,0
1044,Cheshire,June,40,0,0,40,24,2,6,5
1045,Chester,June,5,0,0,5,3,0,4,0
1046,Clinton,June,53,7,0,60,23,10,6,6
1047,Colchester,June,24,7,0,31,28,3,2,0
1048,Colebrook,June,1,0,0,1,1,0,0,0
1049,Columbia,June,10,3,0,13,11,0,1,0
1050,Cornwall,June,0,0,0,0,0,0,0,0
1051,Coventry,June,29,5,0,34,19,1,11,5
1052,Cromwell,June,38,4,0,42,13,3,0,0
1053,Danbury,June,1836,182,6,2024,720,32,59,31
1054,Darien,June,31,2,0,33,10,0,0,0
1055,Deep River,June,22,3,0,25,13,1,2,2
1056,Derby,June,144,27,0,171,123,15,8,5
1057,Durham,June,12,1,0,13,2,0,0,0
1058,East Granby,June,9,2,0,11,10,1,0,0
1059,East Haddam,June,17,1,0,18,16,4,4,4
1060,East Hampton,June,37,4,0,41,17,4,2,1
1061,East Hartford,June,519,93,8,620,95,32,40,18
1062,East Haven,June,223,35,0,258,44,12,14,7
1063,East Lyme,June,50,8,0,58,49,4,9,2
1064,East Windsor,June,48,10,1,59,35,2,8,6
1065,Eastford,June,5,2,0,7,5,0,1,0
1066,Easton,June,13,0,0,13,12,0,0,0
1067,Ellington,June,33,6,1,40,26,1,5,1
1068,Enfield,June,176,38,1,215,157,26,24,14
1069,Essex,June,17,2,0,19,7,2,0,0
1070,Fairfield,June,156,17,0,173,67,8,10,6
1071,Farmington,June,35,3,1,39,19,0,1,1
1072,Franklin,June,4,2,0,6,2,1,2,2
1073,Glastonbury,June,43,2,0,45,26,1,5,3
1074,Goshen,June,0,0,0,0,0,0,0,0
1075,Granby,June,15,1,0,16,13,0,0,0
1076,Greenwich,June,220,23,0,243,40,4,4,2
1077,Griswold,June,48,10,0,58,44,2,8,3
1078,Groton,June,390,36,0,426,160,9,22,17
1079,Guilford,June,41,8,0,49,17,1,3,3
1080,Haddam,June,14,0,0,14,2,1,0,0
1081,Hamden,June,333,36,0,369,117,38,28,13
1082,Hampton,June,5,0,0,5,3,0,4,2
1083,Hartford,June,2504,546,12,3062,1016,158,240,114
1084,Hartland,June,2,0,0,2,2,0,0,0
1085,Harwinton,June,6,0,0,6,4,1,0,0
